名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額（百万円）,自己資本比率,ROE,ROA,発行済株式数
DMG森精機,東証1部,機械,機械 ,376631.0,1961.0,-1064.0,-7826.0,558222.0,100449.0,51115.0,206780.0,244350.0,18.0,-6.12,-1.35,125953683.0
ココカラファイン,東証1部,小売業,小売 ,377203.0,10159.0,12507.0,7037.0,146963.0,83237.0,1000.0,300.0,161496.0,56.6,8.73,4.86,25472485.0
ヤクルト本社,東証1部,食料品,食品 ,378307.0,37281.0,49370.0,30154.0,585741.0,343502.0,31117.0,104160.0,1424873.0,58.6,8.93,5.18,175910218.0
ヤマエ久野,福証,繊維製品,素材・化学 ,379573.0,3822.0,4365.0,2916.0,124263.0,42527.0,1026.0,15205.0,26162.0,34.2,7.12,2.35,20519212.0
東洋ゴム工業,東証1部,ゴム製品,自動車・輸送機 ,381635.0,49315.0,44102.0,-12260.0,491088.0,141578.0,30484.0,132481.0,304340.0,28.8,-7.82,-2.42,127179073.0
東洋水産,東証1部,食料品,食品 ,382678.0,29486.0,31147.0,20837.0,361074.0,271199.0,18969.0,267.0,461265.0,75.1,7.91,5.9,110881044.0
九州旅客鉄道,東証1部,陸運業,運輸・物流 ,382912.0,58743.0,60565.0,44751.0,676669.0,343039.0,16000.0,78315.0,524000.0,50.7,13.91,6.76,160000000.0
パイオニア,東証1部,電気機器,電機・精密 ,386682.0,4167.0,2966.0,-5054.0,281786.0,82516.0,91732.0,39292.0,76678.0,29.3,-6.01,-1.74,372223436.0
スタンレー電気,東証1部,電気機器,電機・精密 ,388560.0,42305.0,45720.0,28685.0,458042.0,316865.0,30514.0,19526.0,682281.0,69.2,9.41,6.45,176300000.0
東邦ガス,東証1部,電気・ガス業,電力・ガス ,390433.0,23188.0,24490.0,17749.0,532931.0,306801.0,33072.0,113544.0,370102.0,57.6,6.0,3.26,531756429.0
JSR,東証1部,化学,素材・化学 ,390599.0,32370.0,36264.0,30078.0,576016.0,361394.0,23320.0,62121.0,489111.0,62.7,8.42,5.51,226126145.0
横河電機,東証1部,電気機器,電機・精密 ,391433.0,31608.0,33014.0,25759.0,440498.0,256408.0,43401.0,44560.0,506894.0,58.2,10.37,6.04,268624510.0
TIS,東証1部,情報・通信業,情報通信・サービスその他 ,393398.0,27019.0,27092.0,16306.0,337622.0,195053.0,10001.0,32347.0,277852.0,57.8,8.78,4.84,87789098.0
NIPPO,東証1部,建設業,建設・資材 ,393614.0,44121.0,45799.0,28518.0,496182.0,288498.0,15324.0,3131.0,272475.0,58.1,10.36,5.89,119401836.0
安川電機,東証1部,電気機器,電機・精密 ,394883.0,30409.0,31963.0,20397.0,387512.0,198514.0,30562.0,35792.0,962753.0,51.2,10.74,5.36,266690497.0
ライオン,東証1部,化学,素材・化学 ,395606.0,24502.0,26290.0,15951.0,298510.0,149284.0,34433.0,6194.0,648482.0,50.0,11.24,5.49,299115346.0
マクニカ・富士エレホールディングス,東証1部,卸売業,商社・卸売 ,398503.0,10473.0,9635.0,6534.0,215158.0,102971.0,10066.0,27082.0,119290.0,47.9,6.26,3.14,58792557.0
アシックス,東証1部,その他製品,情報通信・サービスその他 ,399107.0,25472.0,23408.0,15566.0,342812.0,199938.0,23972.0,56975.0,335738.0,58.3,7.82,4.54,199962991.0
日立造船,東証1部,機械,機械 ,399331.0,14947.0,11225.0,5864.0,393474.0,115692.0,45442.0,107434.0,98044.0,29.4,5.1,1.47,170214843.0
ミサワホーム,東証1部,建設業,建設・資材 ,399853.0,8401.0,8146.0,4422.0,247069.0,49839.0,11892.0,81351.0,40400.0,20.2,9.79,1.85,43070163.0
日本ガイシ,東証1部,ガラス・土石製品,建設・資材 ,401266.0,63212.0,64557.0,36379.0,759434.0,416742.0,69849.0,174149.0,695738.0,54.9,8.84,4.95,327560196.0
キッコーマン,東証1部,食料品,食品 ,402174.0,32842.0,32037.0,23810.0,361248.0,240010.0,11599.0,46120.0,739497.0,66.4,10.27,6.55,210383202.0
三井住友建設,東証1部,建設業,建設・資材 ,403908.0,27941.0,26174.0,17035.0,302152.0,56949.0,12003.0,33841.0,99231.0,18.8,34.41,5.72,813366605.0
安藤ハザマ,東証1部,建設業,建設・資材 ,407994.0,37018.0,36239.0,26277.0,318387.0,99906.0,12000.0,41232.0,138536.0,31.4,29.85,8.49,185209189.0
ヤマハ,東証1部,その他製品,情報通信・サービスその他 ,408248.0,44302.0,44926.0,46719.0,522362.0,365123.0,28534.0,11240.0,771267.0,69.9,14.02,9.42,197255025.0
シップヘルスケアホールディングス,東証1部,卸売業,商社・卸売 ,408487.0,16055.0,16478.0,9410.0,263540.0,91385.0,15553.0,42916.0,182242.0,34.7,10.92,3.9,50834700.0
DOWAホールディングス,東証1部,非鉄金属,鉄鋼・非鉄 ,410503.0,33990.0,36504.0,26169.0,404604.0,219303.0,36437.0,79882.0,255086.0,54.2,12.64,6.81,309946031.0
大日本住友製薬,東証1部,医薬品,医薬品 ,411638.0,52759.0,54341.0,28991.0,793950.0,460656.0,22400.0,68000.0,588494.0,58.0,6.39,3.86,397900154.0
フタバ産業,東証1部,輸送用機器,自動車・輸送機 ,412383.0,8976.0,7542.0,4806.0,242311.0,54330.0,16820.0,82915.0,114036.0,22.4,10.03,2.02,89580827.0
ALSOK,東証1部,サービス業,情報通信・サービスその他 ,413343.0,28422.0,30309.0,18330.0,385877.0,196623.0,18675.0,42078.0,524486.0,51.0,9.7,4.98,102040042.0
マキタ,東証1部,機械,機械 ,414999.0,62564.0,64738.0,44782.0,597249.0,502170.0,23805.0,6597.0,1295081.0,84.1,9.12,7.75,280017520.0
日本テレビホールディングス,東証1部,情報・通信業,情報通信・サービスその他 ,416704.0,52526.0,58130.0,40786.0,848629.0,642721.0,18600.0,7171.0,504692.0,75.7,6.6,5.04,263822080.0
京王電鉄,東証1部,陸運業,運輸・物流 ,418996.0,37976.0,35285.0,21168.0,834682.0,331756.0,59023.0,328583.0,603546.0,39.7,6.58,2.56,642754152.0
富士石油,東証1部,石油・石炭製品,エネルギー資源 ,419530.0,18940.0,18102.0,15503.0,288418.0,62636.0,24467.0,127073.0,32837.0,21.7,28.23,5.95,78183677.0
前田建設工業,東証1部,建設業,建設・資材 ,422587.0,23103.0,27363.0,23941.0,648601.0,190545.0,28463.0,92840.0,257738.0,29.4,13.77,4.38,197955682.0
住友理工,東証1部,ゴム製品,自動車・輸送機 ,422630.0,13600.0,13300.0,5195.0,404799.0,161293.0,12145.0,107366.0,114239.0,39.8,3.23,1.31,104042806.0
戸田建設,東証1部,建設業,建設・資材 ,422722.0,24998.0,27197.0,42091.0,536582.0,223958.0,23001.0,70276.0,269096.0,41.7,21.1,7.76,322656796.0
カメイ,東証1部,卸売業,商社・卸売 ,423469.0,10474.0,11997.0,7836.0,222891.0,91169.0,8132.0,53988.0,64733.0,40.9,9.04,3.63,37591969.0
田辺三菱製薬,東証1部,医薬品,医薬品 ,423977.0,94083.0,96059.0,71263.0,984537.0,860505.0,50000.0,708.0,1519758.0,87.4,8.55,7.44,561417916.0
野村総合研究所,東証1部,情報・通信業,情報通信・サービスその他 ,424548.0,58514.0,60354.0,45064.0,628944.0,434433.0,18600.0,56811.0,1112760.0,69.1,10.65,7.21,264000000.0
テイ・エス テック,東証1部,輸送用機器,自動車・輸送機 ,425794.0,34557.0,35792.0,19622.0,322202.0,212417.0,4700.0,1288.0,245820.0,65.9,9.58,6.27,68000000.0
ATグループ,名証2部,小売業,小売 ,427899.0,15813.0,18261.0,11631.0,349863.0,184110.0,2917.0,43668.0,95841.0,52.6,6.51,3.43,35171051.0
光通信,東証1部,情報・通信業,情報通信・サービスその他 ,428913.0,41561.0,62703.0,39034.0,511487.0,180459.0,54259.0,173121.0,654170.0,35.3,22.48,8.47,47749642.0
興銀リース,東証1部,その他金融業,金融（除く銀行） ,429405.0,17962.0,18789.0,12414.0,1752284.0,136572.0,17874.0,1415336.0,123895.0,7.8,9.42,0.72,42649000.0
ベネッセホールディングス,東証1部,サービス業,情報通信・サービスその他 ,430064.0,7685.0,5545.0,3557.0,481904.0,168269.0,13600.0,37805.0,399098.0,34.9,2.09,0.74,102464061.0
東洋エンジニアリング,東証1部,建設業,建設・資材 ,431917.0,-2009.0,1603.0,1472.0,317089.0,51273.0,18198.0,31788.0,54753.0,16.2,2.88,0.46,192792539.0
ノジマ,東証1部,小売業,小売 ,432064.0,15091.0,15479.0,10158.0,245467.0,56467.0,5905.0,89209.0,102291.0,23.0,19.7,4.24,49728216.0
三井金属,東証1部,非鉄金属,鉄鋼・非鉄 ,436330.0,38461.0,31047.0,18674.0,518981.0,173982.0,42129.0,207421.0,341488.0,33.5,10.87,3.72,572966166.0
平和堂,東証1部,小売業,小売 ,437587.0,15344.0,15643.0,9216.0,293672.0,139109.0,11614.0,61591.0,147830.0,47.4,6.8,3.14,58546470.0
郵船ロジスティクス,東証1部,倉庫・運輸関連業,運輸・物流 ,439141.0,4224.0,5970.0,-2511.0,205252.0,68473.0,4301.0,22334.0,42474.0,33.4,-3.55,-1.24,42220800.0
ダイセル,東証1部,化学,素材・化学 ,440061.0,64306.0,66215.0,43198.0,599708.0,369620.0,36275.0,72284.0,483621.0,61.6,12.22,7.45,349942682.0
DCMホールディングス,東証1部,小売業,小売 ,443369.0,19625.0,19122.0,11599.0,393261.0,179174.0,10006.0,126967.0,145891.0,45.6,6.76,3.05,142471519.0
大同特殊鋼,東証1部,鉄鋼,鉄鋼・非鉄 ,445122.0,25513.0,26373.0,16386.0,574169.0,259852.0,37172.0,141397.0,284589.0,45.3,6.65,2.95,434487693.0
ユアサ商事,東証1部,卸売業,商社・卸売 ,446335.0,10923.0,11704.0,7777.0,216984.0,64245.0,20644.0,3117.0,88803.0,29.6,12.86,3.7,23155882.0
日本軽金属ホールディングス,東証1部,非鉄金属,鉄鋼・非鉄 ,448381.0,30225.0,26252.0,19520.0,448623.0,159653.0,46525.0,149835.0,205199.0,35.6,13.47,4.33,619937500.0
OKI,東証1部,電気機器,電機・精密 ,451627.0,2545.0,-2366.0,4691.0,360724.0,96879.0,44000.0,87011.0,131175.0,26.9,4.61,1.21,87217602.0
センコーグループホールディングス,東証1部,陸運業,運輸・物流 ,455435.0,17081.0,17301.0,8950.0,285958.0,100288.0,26528.0,85163.0,122901.0,35.1,9.52,3.22,152861921.0
東海理化,東証1部,輸送用機器,自動車・輸送機 ,459070.0,30522.0,32111.0,-4336.0,368666.0,201045.0,22856.0,2205.0,202886.0,54.5,-2.11,-1.18,94234171.0
コカ・コーラボトラーズジャパン,東証1部,食料品,食品 ,460455.0,21143.0,20602.0,5245.0,377468.0,260759.0,15231.0,50200.0,777633.0,69.1,2.01,1.39,206268593.0
関電工,東証1部,建設業,建設・資材 ,470943.0,26397.0,27345.0,17591.0,424874.0,206992.0,10264.0,38581.0,242035.0,48.7,8.81,4.23,205288338.0
きんでん,東証1部,建設業,建設・資材 ,472591.0,36062.0,38046.0,26375.0,570037.0,398016.0,26411.0,16190.0,381747.0,69.8,6.82,4.72,218141080.0
近鉄エクスプレス,東証1部,倉庫・運輸関連業,運輸・物流 ,474330.0,13075.0,13036.0,4487.0,379244.0,117201.0,7216.0,165676.0,127224.0,30.9,3.7,1.17,72000000.0
伊藤園,東証1部,食料品,食品 ,475866.0,21774.0,21524.0,13693.0,302405.0,135521.0,19912.0,59797.0,342129.0,44.8,10.46,4.64,89212380.0
荏原,東証1部,機械,機械 ,476104.0,29995.0,28464.0,20587.0,588457.0,271357.0,78764.0,94309.0,371895.0,46.1,8.04,3.53,101749653.0
大王製紙,東証1部,パルプ・紙,素材・化学 ,477140.0,23535.0,21347.0,12136.0,657747.0,176525.0,39707.0,336992.0,198634.0,26.8,7.15,1.85,149348785.0
オリエンタルランド,東証1部,サービス業,情報通信・サービスその他 ,477748.0,113152.0,114611.0,82374.0,849798.0,669515.0,63201.0,60574.0,3091730.0,78.8,12.73,9.92,363690160.0
HOYA,東証1部,精密機器,電機・精密 ,478927.0,103903.0,110795.0,86740.0,659583.0,510887.0,6264.0,37417.0,2440412.0,77.5,17.28,13.36,389779920.0
クラレ,東証1部,化学,素材・化学 ,485192.0,67827.0,66181.0,40400.0,725433.0,512959.0,88955.0,59798.0,755150.0,70.7,8.01,5.66,354863603.0
SMC,東証1部,機械,機械 ,487625.0,141107.0,148237.0,113095.0,1192444.0,1027608.0,61005.0,17073.0,2701511.0,86.2,11.5,9.78,67369359.0
日本紙パルプ商事,東証1部,卸売業,商社・卸売 ,490672.0,8109.0,8022.0,5191.0,288219.0,76450.0,16649.0,98542.0,71953.0,26.5,6.98,1.77,150215512.0
中外製薬,東証1部,医薬品,医薬品 ,491780.0,76884.0,74448.0,53592.0,806285.0,645508.0,72967.0,645.0,2608136.0,80.1,8.43,6.73,559685889.0
日清食品ホールディングス,東証1部,食料品,食品 ,495715.0,28618.0,32864.0,23558.0,537180.0,341058.0,25122.0,34317.0,824595.0,63.5,6.72,4.32,117463685.0
東芝テック,東証1部,電気機器,電機・精密 ,497611.0,14649.0,12534.0,7758.0,269393.0,65406.0,39970.0,1048.0,180091.0,24.3,12.64,2.82,288145704.0
五洋建設,東証1部,建設業,建設・資材 ,500336.0,24274.0,23709.0,15271.0,372311.0,96377.0,30449.0,59721.0,185337.0,25.9,17.26,4.07,286013910.0
コスモス薬品,東証1部,小売業,小売 ,502732.0,22237.0,24591.0,18215.0,225691.0,93053.0,4178.0,16233.0,523810.0,41.2,21.53,8.51,20000400.0
芙蓉総合リース,東証1部,その他金融業,金融（除く銀行） ,507001.0,28634.0,31379.0,19974.0,2300090.0,227844.0,10532.0,1743627.0,221101.0,9.9,9.16,0.91,30287810.0
山九,東証1部,陸運業,運輸・物流 ,510027.0,27086.0,28066.0,18208.0,383448.0,159737.0,28619.0,62506.0,295101.0,41.7,11.97,4.83,326078030.0
西武ホールディングス,東証1部,陸運業,運輸・物流 ,512009.0,62456.0,57472.0,47564.0,1627868.0,355323.0,50000.0,871420.0,630878.0,21.8,12.74,2.99,342124820.0
アークス,東証1部,小売業,小売 ,512645.0,14854.0,16471.0,10493.0,205313.0,126783.0,20000.0,10082.0,142249.0,61.8,8.56,5.17,56650468.0
ニトリホールディングス,東証1部,小売業,小売 ,512958.0,85776.0,87563.0,59999.0,487814.0,393694.0,13370.0,625.0,1974150.0,80.7,16.59,13.3,114443496.0
テルモ,東証1部,精密機器,電機・精密 ,514164.0,76578.0,68552.0,54225.0,1021405.0,489146.0,38716.0,338566.0,1718416.0,47.9,10.84,5.64,379760520.0
レオパレス21,東証1部,不動産業,不動産 ,520488.0,22898.0,22355.0,20401.0,337828.0,158714.0,75282.0,34531.0,212072.0,47.0,13.38,6.14,263443915.0
バローホールディングス,東証1部,小売業,小売 ,520530.0,15439.0,16762.0,10522.0,269488.0,107058.0,11916.0,76244.0,126651.0,39.7,10.24,4.01,52661699.0
小田急電鉄,東証1部,陸運業,運輸・物流 ,523031.0,49946.0,46638.0,26067.0,1270102.0,334263.0,60359.0,601735.0,788954.0,26.3,8.06,2.06,368497717.0
エイチ・アイ・エス,東証1部,サービス業,情報通信・サービスその他 ,523705.0,14274.0,8648.0,267.0,332385.0,79592.0,11000.0,126653.0,241886.0,23.9,0.3,0.08,68522936.0
日新製鋼,東証1部,鉄鋼,鉄鋼・非鉄 ,525563.0,7834.0,5998.0,1672.0,706418.0,213279.0,30000.0,245034.0,156088.0,30.2,0.79,0.24,109843923.0
日清紡ホールディングス,東証1部,電気機器,電機・精密 ,527274.0,4890.0,10556.0,3574.0,646288.0,229436.0,27587.0,156041.0,237266.0,35.5,1.54,0.55,178798939.0
日清製粉グループ本社,東証1部,食料品,食品 ,532040.0,25511.0,30329.0,19466.0,557568.0,393621.0,17117.0,14712.0,596237.0,70.6,5.08,3.51,304357891.0
エーザイ,東証1部,医薬品,医薬品 ,539097.0,59064.0,57668.0,39358.0,1030764.0,584630.0,44986.0,213474.0,1740551.0,56.7,6.8,3.93,296566949.0
ニチレイ,東証1部,食料品,食品 ,539657.0,29309.0,29105.0,18751.0,346195.0,159141.0,30307.0,70866.0,404385.0,46.0,12.11,5.48,139925532.0
サッポロホールディングス,東証1部,食料品,食品 ,541847.0,20267.0,19202.0,9469.0,626351.0,160687.0,53886.0,238141.0,251354.0,25.7,5.94,1.52,78794298.0
北陸電力,東証1部,電気・ガス業,電力・ガス ,542572.0,10539.0,2012.0,-622.0,1518076.0,316346.0,117641.0,951004.0,214120.0,20.8,-0.19,-0.04,210333694.0
ゼンショーホールディングス,東証1部,小売業,小売 ,544028.0,18775.0,18061.0,8443.0,288999.0,67905.0,23470.0,137144.0,309606.0,23.5,13.03,2.98,149640445.0
レンゴー,東証1部,パルプ・紙,素材・化学 ,545489.0,23642.0,25214.0,13876.0,704826.0,234242.0,31066.0,276419.0,173476.0,33.2,6.16,2.06,271056029.0
カネカ,東証1部,化学,素材・化学 ,548222.0,33164.0,27426.0,20484.0,592900.0,305150.0,33046.0,112630.0,304150.0,51.5,6.86,3.5,350000000.0
ティーガイア,東証1部,情報・通信業,情報通信・サービスその他 ,551592.0,14271.0,14284.0,9694.0,75282.0,29365.0,3154.0,23079.0,166451.0,39.0,29.74,12.03,79074000.0
キユーピー,東証1部,食料品,食品 ,552306.0,29818.0,31364.0,17093.0,385914.0,212621.0,24104.0,30799.0,407133.0,55.1,8.01,4.51,153000000.0
日立化成,東証1部,化学,素材・化学 ,554144.0,53152.0,54380.0,40186.0,600485.0,369618.0,15454.0,45896.0,675102.0,61.6,11.07,7.08,208364913.0
三菱ガス化学,東証1部,化学,素材・化学 ,556480.0,43762.0,62378.0,47958.0,741639.0,428091.0,41970.0,118164.0,662365.0,57.7,11.91,6.48,241739199.0
しまむら,東証1部,小売業,小売 ,566510.0,48794.0,50079.0,32862.0,379686.0,331354.0,17086.0,109.0,500175.0,87.3,10.33,8.99,36913299.0
セイノーホールディングス,東証1部,陸運業,運輸・物流 ,567539.0,27116.0,28909.0,18206.0,594263.0,375199.0,42481.0,25586.0,312766.0,63.1,4.92,3.1,207679783.0
UACJ,東証1部,非鉄金属,鉄鋼・非鉄 ,568316.0,25869.0,19819.0,8715.0,725443.0,184090.0,52277.0,323824.0,156100.0,25.4,4.99,1.26,483281934.0
東武鉄道,東証1部,陸運業,運輸・物流 ,568887.0,68335.0,62128.0,36137.0,1597733.0,421871.0,102135.0,768979.0,672213.0,26.4,8.89,2.27,1075540607.0
野村不動産ホールディングス,東証1部,不動産業,不動産 ,569680.0,77271.0,68952.0,47005.0,1593093.0,481365.0,116779.0,810100.0,429399.0,30.2,10.15,3.05,191953201.0
TOTO,東証1部,ガラス・土石製品,建設・資材 ,573819.0,48571.0,49381.0,33839.0,553996.0,297020.0,35579.0,33955.0,781372.0,53.6,11.81,6.21,176981297.0
ツルハホールディングス,東証1部,小売業,小売 ,577088.0,37071.0,38628.0,24433.0,287822.0,171392.0,8960.0,5322.0,664010.0,59.5,15.13,8.41,48968268.0
日本板硝子,東証1部,ガラス・土石製品,建設・資材 ,580795.0,32783.0,14751.0,5605.0,790192.0,124146.0,116463.0,396398.0,76838.0,15.7,4.93,0.7,90397899.0
バイタルケーエスケー・ホールディングス,東証1部,卸売業,商社・卸売 ,581079.0,3207.0,6987.0,4778.0,305375.0,89415.0,5000.0,18432.0,57613.0,29.3,5.49,1.51,61224796.0
大陽日酸,東証1部,化学,素材・化学 ,581586.0,53664.0,50176.0,34740.0,924281.0,351576.0,37344.0,352553.0,556091.0,38.0,10.45,4.07,433092837.0
稲畑産業,東証1部,卸売業,商社・卸売 ,586630.0,12616.0,13672.0,9687.0,340147.0,146258.0,9364.0,71075.0,93344.0,43.0,7.12,3.0,63499227.0
雪印メグミルク,東証1部,食料品,食品 ,587935.0,18753.0,20269.0,12988.0,341507.0,143179.0,20000.0,76710.0,227113.0,41.9,9.51,3.79,70751855.0
岩谷産業,東証1部,卸売業,商社・卸売 ,588045.0,25038.0,26834.0,16546.0,434690.0,134415.0,20096.0,129556.0,167660.0,30.9,13.28,3.94,251365028.0
パーソルホールディングス,東証1部,サービス業,情報通信・サービスその他 ,591995.0,33409.0,34136.0,17820.0,268364.0,139120.0,17465.0,25510.0,569918.0,51.8,13.38,7.06,236676879.0
森永乳業,東証1部,食料品,食品 ,592617.0,21099.0,21960.0,13202.0,385366.0,142036.0,21704.0,88235.0,214867.0,36.9,9.77,3.46,248977218.0
横浜ゴム,東証1部,ゴム製品,自動車・輸送機 ,596193.0,42317.0,39131.0,18787.0,902990.0,348751.0,38909.0,336383.0,380638.0,38.6,5.46,2.33,169549081.0
名古屋鉄道,東証1部,陸運業,運輸・物流 ,599569.0,44180.0,46142.0,23433.0,1093882.0,316320.0,88863.0,436688.0,457127.0,28.9,7.72,2.17,919772531.0
千代田化工建設,東証1部,建設業,建設・資材 ,603745.0,15680.0,-3080.0,-41116.0,461331.0,155340.0,43396.0,10211.0,159319.0,33.7,-23.13,-8.31,260324529.0
大和証券グループ本社,東証1部,証券、商品先物取引業,金融（除く銀行） ,616497.0,119062.0,135623.0,104067.0,19827296.0,1250891.0,247397.0,3595799.0,1077576.0,6.3,8.42,0.52,1699378772.0
宇部興産,東証1部,化学,素材・化学 ,616563.0,34960.0,33348.0,24185.0,709379.0,286599.0,58435.0,208616.0,353646.0,40.4,8.74,3.48,1062001076.0
ダイワボウホールディングス,東証1部,卸売業,商社・卸売 ,617811.0,12626.0,12572.0,7469.0,259531.0,63238.0,21696.0,39451.0,85757.0,24.4,12.48,2.96,192712926.0
ウエルシアホールディングス,東証1部,小売業,小売 ,623163.0,24078.0,25723.0,14451.0,247026.0,115936.0,7736.0,6544.0,473250.0,46.9,13.16,6.1,104817358.0
ニッパツ,東証1部,金属製品,建設・資材 ,626950.0,40613.0,41640.0,25098.0,541741.0,279700.0,17009.0,45391.0,289218.0,51.6,9.35,4.77,244066144.0
伊藤忠食品,東証1部,卸売業,商社・卸売 ,631002.0,3779.0,4565.0,3372.0,211367.0,79678.0,4923.0,98.0,64903.0,37.7,4.31,1.57,13032690.0
ローソン,東証1部,小売業,小売 ,631288.0,73772.0,73014.0,36400.0,866577.0,274881.0,58506.0,88458.0,729181.0,31.7,13.5,4.36,100300000.0
日本水産,東証1部,水産・農林業,食品 ,635953.0,22646.0,24884.0,14216.0,451876.0,120973.0,30685.0,207749.0,192457.0,26.8,13.17,3.17,312430277.0
ミネベアミツミ,東証1部,電気機器,電機・精密 ,638926.0,49015.0,48393.0,41146.0,643312.0,321365.0,68258.0,164010.0,811026.0,50.0,14.9,7.46,427080606.0
ブラザー工業,東証1部,電気機器,電機・精密 ,641185.0,59152.0,61257.0,47242.0,674107.0,345062.0,19209.0,137591.0,690689.0,51.2,14.16,7.04,262220530.0
大塚商会,東証1部,情報・通信業,情報通信・サービスその他 ,643417.0,39684.0,40780.0,26675.0,343821.0,189852.0,10374.0,6700.0,672608.0,55.2,14.69,7.98,95001060.0
ライフコーポレーション,東証1部,小売業,小売 ,652974.0,12664.0,12834.0,8110.0,222421.0,63276.0,10004.0,72614.0,151426.0,28.4,12.82,3.65,53450800.0
フジクラ,東証1部,非鉄金属,鉄鋼・非鉄 ,653795.0,34230.0,32555.0,12900.0,588626.0,202723.0,53075.0,225933.0,273674.0,34.4,6.43,2.26,295863421.0
フジ・メディア・ホールディングス,東証1部,情報・通信業,情報通信・サービスその他 ,653976.0,22319.0,30380.0,27396.0,1185199.0,667843.0,146200.0,189658.0,371431.0,56.3,4.22,2.36,236429800.0
三愛石油,東証1部,卸売業,商社・卸売 ,655668.0,8972.0,9844.0,5939.0,188499.0,81511.0,10127.0,15262.0,89034.0,43.2,7.57,3.22,71000000.0
ケーズホールディングス,東証1部,小売業,小売 ,658150.0,25613.0,32108.0,20154.0,397574.0,194284.0,12987.0,81823.0,270721.0,48.9,10.64,5.15,112053478.0
日立物流,東証1部,陸運業,運輸・物流 ,665377.0,28207.0,30385.0,18703.0,549924.0,201436.0,16803.0,164115.0,279665.0,36.6,9.57,3.69,111776714.0
エア・ウォーター,東証1部,化学,素材・化学 ,670536.0,41341.0,41251.0,22337.0,629115.0,255984.0,32263.0,151725.0,409332.0,40.7,9.1,3.71,198705057.0
昭和電工,東証1部,化学,素材・化学 ,671159.0,42053.0,38690.0,12305.0,932698.0,296560.0,140564.0,359929.0,503778.0,31.8,4.15,1.31,149711292.0
住友重機械工業,東証1部,機械,機械 ,674328.0,48431.0,48274.0,33613.0,796484.0,398601.0,30872.0,60460.0,548773.0,50.0,8.67,4.26,614527405.0
エディオン,東証1部,小売業,小売 ,674426.0,15273.0,16005.0,13118.0,368177.0,151512.0,11940.0,96155.0,118502.0,41.2,8.94,3.6,112005636.0
兼松,東証1部,卸売業,商社・卸売 ,675579.0,22633.0,17875.0,8049.0,479717.0,100357.0,27781.0,133844.0,116188.0,20.9,8.39,1.74,422501010.0
NTN,東証1部,機械,機械 ,683328.0,35622.0,29604.0,2830.0,798891.0,229244.0,54346.0,320169.0,250258.0,28.7,1.23,0.36,532463527.0
四国電力,東証1部,電気・ガス業,電力・ガス ,684537.0,20009.0,15924.0,11349.0,1301267.0,303615.0,145551.0,707755.0,315890.0,23.3,3.85,0.84,223086202.0
ユナイテッド・スーパーマーケット・ホールディングス,東証1部,小売業,小売 ,684806.0,14320.0,14185.0,7350.0,256043.0,137137.0,10000.0,31050.0,142084.0,53.6,5.48,2.88,131681356.0
日揮,東証1部,建設業,建設・資材 ,693152.0,-21496.0,-15215.0,-22057.0,646291.0,382215.0,23511.0,26683.0,448680.0,59.1,-5.51,-3.3,259052929.0
イズミ,東証1部,小売業,小売 ,702121.0,35670.0,35688.0,17015.0,476885.0,160567.0,19613.0,181916.0,429275.0,33.7,11.04,3.6,71665200.0
北海道電力,東証1部,電気・ガス業,電力・ガス ,702776.0,27443.0,12603.0,8793.0,1829539.0,188860.0,114291.0,1355737.0,179553.0,10.3,4.69,0.48,215291912.0
あらた,東証1部,卸売業,商社・卸売 ,704610.0,7384.0,7842.0,4863.0,222974.0,59605.0,5220.0,52569.0,78546.0,26.7,8.42,2.2,16449374.0
ユニ・チャーム,東証1部,化学,素材・化学 ,710965.0,78277.0,71848.0,44134.0,711541.0,387304.0,15992.0,72278.0,1615411.0,54.4,11.4,6.24,620834319.0
NOK,東証1部,輸送用機器,自動車・輸送機 ,713138.0,39776.0,45709.0,27328.0,751797.0,418666.0,23335.0,72962.0,448948.0,55.7,6.71,3.77,173138537.0
長瀬産業,東証1部,卸売業,商社・卸売 ,722384.0,15030.0,16361.0,10331.0,530775.0,290217.0,9699.0,81762.0,232265.0,54.7,3.66,1.98,127408285.0
三井造船,東証1部,輸送用機器,自動車・輸送機 ,731464.0,8304.0,14859.0,12194.0,1096735.0,250370.0,44384.0,265175.0,118000.0,22.8,5.03,1.11,830987176.0
阪急阪神ホールディングス,東証1部,陸運業,運輸・物流 ,736763.0,104058.0,100607.0,71302.0,2349831.0,786950.0,99474.0,890931.0,1079424.0,33.5,9.54,3.08,254281385.0
帝人,東証1部,繊維製品,素材・化学 ,741291.0,56512.0,55933.0,50133.0,964053.0,338385.0,70816.0,374451.0,451216.0,35.1,15.7,5.61,196951733.0
東ソー,東証1部,化学,素材・化学 ,743028.0,111216.0,113094.0,75664.0,782623.0,413211.0,55173.0,139842.0,842610.0,52.8,20.09,9.97,650161912.0
J-POWER,東証1部,電気・ガス業,電力・ガス ,744402.0,81726.0,67150.0,41429.0,2606285.0,723819.0,180502.0,1619437.0,535974.0,27.8,5.94,1.61,183051100.0
オリンパス,東証1部,精密機器,電機・精密 ,748050.0,76487.0,62149.0,78191.0,991062.0,428807.0,124520.0,286357.0,1324502.0,43.3,19.28,7.85,342691224.0
