Team:選手名,OPS,IsoP,BABIP,BB/K,PA/K,AB/HR,SecA,TA,PS,RC27,年俸(推定)
ヤクルトスワローズ:雄平,0.7056076821580413,0.1031866295264624,0.30944625407166126,0.40425531914893614,8.106382978723405,51.285714285714285,0.16991643454038996,0.6150943396226415,6.461538461538462,4.422617346339172,6500
ヤクルトスワローズ:大引　啓次,0.7054578690807799,0.10262499999999997,0.32644628099173556,0.5135135135135135,4.878378378378378,64.0,0.228125,0.6408163265306123,5.833333333333333,4.460964011259046,7000
ヤクルトスワローズ:中村　悠平,0.5172833072780962,0.06612541254125415,0.20833333333333334,0.627906976744186,8.279069767441861,151.5,0.1782178217821782,0.43700787401574803,1.3333333333333333,1.9365996473386307,6700
ヤクルトスワローズ:今浪　隆博,0.7920478141309838,0.09784393063583818,0.3227848101265823,1.5,11.61111111111111,173.0,0.26011560693641617,0.776,0.0,5.99024641148325,1950
ソフトバンクホークス:柳田　悠岐,0.9364465731554339,0.1971891891891892,0.35185185185185186,1.1149425287356323,5.448275862068965,28.46153846153846,0.5216216216216216,1.114814814814815,15.096774193548388,8.882787623066099,27000
ソフトバンクホークス:松田　宣浩,0.7722768004056948,0.19742092457420923,0.28807947019867547,0.30851063829787234,4.797872340425532,20.55,0.2773722627737226,0.6842105263157895,6.666666666666667,4.539167960088683,22000
ソフトバンクホークス:今宮　健太,0.6853606700837604,0.13394736842105265,0.2715654952076677,0.515625,7.015625,47.5,0.23684210526315788,0.6182432432432432,7.466666666666667,3.8154679971026457,9000
ソフトバンクホークス:内川　聖一,0.7647013546798029,0.12271921182266005,0.296398891966759,0.8461538461538461,11.487179487179487,31.23076923076923,0.20935960591133004,0.6677524429967426,3.466666666666667,4.705611578707917,33000
ソフトバンクホークス:中村　晃,0.7696574632058504,0.08582336182336181,0.2977346278317152,1.725,10.975,70.2,0.31339031339031337,0.7840909090909091,4.444444444444445,5.872223134128365,12000
ソフトバンクホークス:長谷川　勇也,0.7244951294844382,0.10777049180327869,0.33183856502242154,0.5066666666666667,4.613333333333333,43.57142857142857,0.23278688524590163,0.6468085106382979,1.75,4.497124326442634,20000
ソフトバンクホークス:本多　雄一,0.6112982637989117,0.039117647058823535,0.29714285714285715,0.59375,7.3125,414.0,0.18137254901960784,0.559748427672956,0.0,3.424114398422093,18000
